Zaman damgası,  Yaşınızı belirtiniz:  ,  Şu anki en yüksek eğitim durumunuz nedir?  ,  Hangi Yapay Zekâ araçlarının ismini duydunuz ve/veya kullandınız?  ,Yapay Zekâ araçlarını (hepsi dahil) ortalama ne sıklıkla kullanıyorsunuz? (Lütfen size en uygun olanı seçiniz.),"Yapay Zekâ araçlarından elde ettiğiniz çıktıların (cevap, metin, kod vb.) doğruluğuna ve güvenilirliğine ne kadar güveniyorsunuz? (1 = Hiç Güvenmiyorum, 5 = Tamamen Güveniyorum)",  Yapay Zekâ aracının ürettiği çıktıları kullanmadan önce daima (veya çoğunlukla) kontrol eder misiniz?  ,"Yapay Zekâ araçlarını etkin bir şekilde kullanmak için gereken teknik beceriye sahip olduğunuzu düşünüyor musunuz? (1 = Kesinlikle Katılmıyorum, 5 = Kesinlikle Katılıyorum.)",  Yapay zekâ araçlarını kullanmanızdaki temel motivasyonunuz aşağıdakilerden hangisidir?  ,"Önümüzdeki 6 ay içinde Yapay Zekâ araçlarını mesleki veya akademik çalışmalarınızda daha yoğun kullanma niyetiniz hangi düzeydedir? ( 1 = 
Kesinlikle Niyetim Yok , 5 =  Kesinlikle Yüksek Niyetim Var)"
21.12.2025 13:09:20,25,Ön Lisans,"Copilot (Microsoft), Midjourney / DALL-E / Stable Diffusion (Görsel Üreticiler)",Günlük (Birden fazla kez),4,"Hayır, sadece kritik durumlarda kontrol ederim.",3,"Verimliliğimi artırmak / Zaman kazanmak, Merak / Teknolojiyi keşfetme isteği",4
21.12.2025 13:10:28,30,Yüksek Lisans/Doktora,"Gemini / Bard (Google), Copilot (Microsoft), Hiçbiri, Zaman tasarrufu sağladığı için tercih ediyorum.",Haftada birkaç kez,4,"Evet, daima kontrol ederim.",1,"Verimliliğimi artırmak / Zaman kazanmak, Yaratıcılığımı desteklemek / Yeni fikirler üretmek, İş / Okul görevlerini tamamlamak, Eğlence / Hobi amaçlı kullanmak",5
21.12.2025 13:11:54,23,Lise veya altı,"ChatGPT (OpenAI), Copilot (Microsoft), Hiçbiri",Çok nadiren (Ayda 1 kereden az),1,"Hayır, genellikle kontrol etmem.",1,"Verimliliğimi artırmak / Zaman kazanmak, İş / Okul görevlerini tamamlamak, Eğlence / Hobi amaçlı kullanmak",3
21.12.2025 13:12:00,25,Ön Lisans,"ChatGPT (OpenAI), Gemini / Bard (Google), Midjourney / DALL-E / Stable Diffusion (Görsel Üreticiler), GitHub Copilot / Diğer Kod Üretici YZ Araçları",Günlük (1 kez),2,"Hayır, genellikle kontrol etmem.",4,"Verimliliğimi artırmak / Zaman kazanmak, Yaratıcılığımı desteklemek / Yeni fikirler üretmek",3
21.12.2025 13:12:07,48,Yüksek Lisans/Doktora,"ChatGPT (OpenAI), Copilot (Microsoft), Midjourney / DALL-E / Stable Diffusion (Görsel Üreticiler), Hiçbiri, ",Haftada birkaç kez,3,"Evet, daima kontrol ederim.",1,"Yaratıcılığımı desteklemek / Yeni fikirler üretmek, İş / Okul görevlerini tamamlamak, Eğlence / Hobi amaçlı kullanmak",2
21.12.2025 13:12:19,22,Yüksek Lisans/Doktora,"Gemini / Bard (Google), Copilot (Microsoft)",Haftada birkaç kez,5,"Evet, daima kontrol ederim.",3,"İş / Okul görevlerini tamamlamak, Eğlence / Hobi amaçlı kullanmak",2
21.12.2025 13:12:25,39,Ön Lisans,"Gemini / Bard (Google), Copilot (Microsoft), ",Günlük (Birden fazla kez),1,"Evet, daima kontrol ederim.",5,"Verimliliğimi artırmak / Zaman kazanmak, Yeni şeyler öğrenmek / Bilgiye hızlı ulaşmak",5
21.12.2025 13:12:30,40,Lise veya altı,"GitHub Copilot / Diğer Kod Üretici YZ Araçları, Hiçbiri",Çok nadiren (Ayda 1 kereden az),2,"Hayır, genellikle kontrol etmem.",2,Verimliliğimi artırmak / Zaman kazanmak,3
21.12.2025 13:13:27,30,Ön Lisans,"Gemini / Bard (Google), Copilot (Microsoft), Hiçbiri",Günlük (1 kez),4,"Hayır, genellikle kontrol etmem.",5,"Verimliliğimi artırmak / Zaman kazanmak, İş / Okul görevlerini tamamlamak, Eğlence / Hobi amaçlı kullanmak",2
21.12.2025 13:13:40,21,Lisans,"ChatGPT (OpenAI), Gemini / Bard (Google), ",Haftada birkaç kez,5,"Hayır, sadece kritik durumlarda kontrol ederim.",5,"Verimliliğimi artırmak / Zaman kazanmak, Yeni şeyler öğrenmek / Bilgiye hızlı ulaşmak",2
